""
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
3,20,3,0.0,hard_sigmoid,sigmoid,adamax,0.20278784036558073,8.792244467943021
4,10,3,0.1,hard_sigmoid,sigmoid,adamax,0.2035798384037639,9.055797210091118
5,10,2,0.2,hard_sigmoid,selu,adamax,0.2590956726483068,14.184572804973383
6,10,3,0.2,hard_sigmoid,sigmoid,rmsprop,0.6736263218337084,43.137491143594175
7,10,3,0.2,hard_sigmoid,sigmoid,adamax,0.6941796321167484,44.569816572432465
8,20,3,0.1,hard_sigmoid,sigmoid,adamax,0.694471981116477,44.57903554168022
9,20,3,0.1,hard_sigmoid,sigmoid,adamax,0.7023942165555113,45.13407158950674
0,10,3,0.2,hard_sigmoid,selu,rmsprop,0.18786115733343392,7.404559271062006
1,10,2,0.2,hard_sigmoid,selu,rmsprop,0.1715735171837283,7.452317518456142
2,10,3,0.1,hard_sigmoid,selu,rmsprop,0.2111759265501405,7.528577752475939
3,20,3,0.1,hard_sigmoid,selu,rmsprop,0.1985545090911939,7.726669813268888
4,20,2,0.1,hard_sigmoid,selu,rmsprop,0.1906140808551729,7.769835418754706
5,10,3,0.1,hard_sigmoid,sigmoid,adamax,0.18882085543549765,8.462550365242786
6,10,3,0.1,hard_sigmoid,selu,rmsprop,0.17659124486417793,8.492406046335136
7,20,3,0.1,hard_sigmoid,selu,rmsprop,0.1796395100098398,8.996619254058782
8,10,3,0.1,hard_sigmoid,sigmoid,adamax,0.676723267498095,43.33302449694307
9,10,3,0.1,hard_sigmoid,sigmoid,adamax,0.678090740461497,43.43091135271664
0,10,3,0.2,hard_sigmoid,selu,rmsprop,0.16457719199968376,6.74582275506604
1,10,3,0.2,hard_sigmoid,selu,rmsprop,0.20317369749655864,6.856203570274241
2,10,2,0.2,hard_sigmoid,selu,rmsprop,0.18303010390440758,7.150239558939267
3,10,3,0.2,hard_sigmoid,selu,rmsprop,0.18786115733343392,7.404559271062006
4,10,2,0.2,hard_sigmoid,selu,rmsprop,0.1715735171837283,7.452317518456142
5,20,3,0.1,hard_sigmoid,selu,rmsprop,0.2111759265501405,7.528577752475939
6,10,3,0.1,hard_sigmoid,sigmoid,adamax,0.1985545090911939,7.726669813268888
7,20,3,0.1,hard_sigmoid,selu,rmsprop,0.1829735019314151,8.24810741256649
8,10,3,0.2,hard_sigmoid,selu,rmsprop,0.1963686534813671,8.799852412015856
9,20,3,0.1,hard_sigmoid,selu,rmsprop,0.20779593965844634,11.964292757593855
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
0,30,2,0.30000000000000004,sigmoid,selu,adam,0.17824739967562264,7.641085481921098
1,10,1,0.2,tanh,relu,rmsprop,0.1672712380099412,7.753870176826197
2,30,2,0.30000000000000004,elu,selu,nadam,0.19262793055943403,8.457228876503391
3,20,2,0.1,elu,selu,adagrad,0.20243467423943007,8.68212901134531
4,30,2,0.0,selu,hard_sigmoid,adadelta,0.2167920625876464,9.536458053147866
5,20,2,0.1,selu,selu,adagrad,0.20196109188791775,9.613434141091785
6,30,1,0.1,sigmoid,relu,adamax,0.20894410029374938,11.909726260470336
7,20,4,0.0,tanh,tanh,nadam,0.6646860333418739,42.46732157912668
8,30,4,0.30000000000000004,relu,elu,nadam,0.6848093243911997,43.89407138206122
9,30,3,0.30000000000000004,relu,elu,sgd,0.694115634888049,44.54245983103142
0,30,1,0.30000000000000004,sigmoid,selu,rmsprop,0.19397388520418876,6.616118306914911
1,30,2,0.30000000000000004,sigmoid,selu,adam,0.17824739967562264,7.641085481921098
2,10,1,0.2,tanh,relu,rmsprop,0.1672712380099412,7.753870176826197
3,30,1,0.1,sigmoid,relu,adamax,0.19262793055943403,8.457228876503391
4,30,4,0.30000000000000004,relu,elu,nadam,0.20243467423943007,8.68212901134531
5,30,4,0.30000000000000004,sigmoid,selu,nadam,0.18764639703809205,9.019512660689934
6,30,3,0.30000000000000004,relu,elu,sgd,0.2167920625876464,9.536458053147866
7,30,2,0.30000000000000004,relu,elu,nadam,0.21295555482415088,10.056959841550807
8,30,2,0.30000000000000004,tanh,selu,rmsprop,0.2359269687474231,13.068741842400078
9,10,1,0.30000000000000004,tanh,elu,sgd,0.6432176171859357,42.060454767093844
0,30,1,0.30000000000000004,sigmoid,selu,rmsprop,0.19397388520418876,6.616118306914911
1,30,2,0.30000000000000004,sigmoid,selu,adam,0.1791704885221172,6.8380198054321575
2,30,2,0.30000000000000004,sigmoid,selu,adam,0.17824739967562264,7.641085481921098
3,10,1,0.2,tanh,relu,rmsprop,0.1672712380099412,7.753870176826197
4,10,1,0.2,sigmoid,selu,rmsprop,0.17707004731448392,8.120738898134457
5,10,1,0.30000000000000004,sigmoid,selu,rmsprop,0.16751922485897905,8.316510217784042
6,30,2,0.30000000000000004,relu,elu,nadam,0.19262793055943403,8.457228876503391
7,30,2,0.30000000000000004,tanh,selu,rmsprop,0.20243467423943007,8.68212901134531
8,30,2,0.30000000000000004,tanh,elu,rmsprop,0.19605193779766072,8.930147921915985
9,30,2,0.30000000000000004,relu,selu,rmsprop,0.2164754257579623,11.071465587252714
0,30,1,0.2,sigmoid,selu,rmsprop,0.17854030969819856,6.152127253401615
1,30,1,0.30000000000000004,sigmoid,selu,rmsprop,0.19397388520418876,6.616118306914911
2,30,2,0.30000000000000004,sigmoid,selu,adam,0.1791704885221172,6.8380198054321575
3,30,1,0.30000000000000004,sigmoid,selu,adam,0.17824739967562264,7.641085481921098
4,10,1,0.2,tanh,relu,rmsprop,0.1672712380099412,7.753870176826197
5,30,1,0.30000000000000004,sigmoid,selu,adam,0.19049635032706616,8.201721447087643
6,30,1,0.30000000000000004,sigmoid,selu,adam,0.1982898785135298,8.321441924757229
7,30,1,0.2,tanh,relu,rmsprop,0.1743181610939201,8.43973757119197
8,30,1,0.30000000000000004,sigmoid,selu,adam,0.19492610902896496,8.746455700253843
9,30,1,0.30000000000000004,sigmoid,selu,adam,0.21105583675673945,11.319495232120126
0,30,1,0.2,sigmoid,selu,rmsprop,0.17854030969819856,6.152127253401615
1,30,1,0.30000000000000004,sigmoid,selu,rmsprop,0.19397388520418876,6.616118306914911
2,30,2,0.30000000000000004,sigmoid,selu,adam,0.1791704885221172,6.8380198054321575
3,30,1,0.30000000000000004,sigmoid,selu,adam,0.17824739967562264,7.641085481921098
4,30,1,0.1,tanh,relu,rmsprop,0.1672712380099412,7.753870176826197
5,30,1,0.30000000000000004,sigmoid,selu,adam,0.19049635032706616,8.201721447087643
6,30,2,0.30000000000000004,sigmoid,selu,adam,0.19343023516628724,8.286072308517035
7,30,1,0.30000000000000004,sigmoid,selu,adam,0.20623101770452776,10.175131345181503
8,30,1,0.30000000000000004,sigmoid,selu,adam,0.21510625997821511,12.243545039271822
9,30,1,0.30000000000000004,sigmoid,selu,adam,0.23110683548033395,13.50041396306888
0,30,1,0.2,sigmoid,selu,rmsprop,0.17854030969819856,6.152127253401615
1,30,1,0.2,sigmoid,selu,rmsprop,0.16941218637282363,6.257664904924446
2,30,1,0.30000000000000004,sigmoid,selu,rmsprop,0.19397388520418876,6.616118306914911
3,30,1,0.2,sigmoid,selu,rmsprop,0.16524156601551832,6.631825146450884
4,30,1,0.30000000000000004,sigmoid,selu,adam,0.1791704885221172,6.8380198054321575
5,30,1,0.30000000000000004,sigmoid,selu,adam,0.17824739967562264,7.641085481921098
6,30,1,0.30000000000000004,sigmoid,selu,adam,0.18628716241160714,7.686673494031829
7,30,1,0.30000000000000004,sigmoid,selu,rmsprop,0.1703621473934334,8.078284361515076
8,30,1,0.30000000000000004,sigmoid,selu,adam,0.18650773293113465,8.50356485422414
9,30,1,0.30000000000000004,sigmoid,selu,adam,0.18994444168066157,9.035012673949954
0,30,1,0.2,sigmoid,selu,rmsprop,0.1659438200161557,5.853041809890106
1,30,1,0.2,sigmoid,relu,rmsprop,0.16926071583314883,6.103989261522293
2,30,1,0.2,sigmoid,relu,rmsprop,0.17854030969819856,6.152127253401615
3,30,1,0.2,sigmoid,selu,rmsprop,0.1798311663705226,6.232064482076918
4,30,1,0.2,sigmoid,selu,rmsprop,0.16941218637282363,6.257664904924446
5,30,1,0.2,sigmoid,relu,rmsprop,0.17422237492031484,6.378774439772982
6,30,1,0.2,sigmoid,relu,rmsprop,0.16209772682634513,6.510728450345448
7,30,1,0.2,sigmoid,relu,rmsprop,0.19093640378345395,6.511733146219843
8,30,1,0.2,sigmoid,relu,rmsprop,0.17418568763960887,6.570034070064451
9,30,1,0.2,sigmoid,selu,rmsprop,0.1712138751958081,6.816526361618943
0,30,1,0.2,sigmoid,selu,rmsprop,0.1659438200161557,5.853041809890106
1,30,1,0.2,sigmoid,relu,rmsprop,0.16926071583314883,6.103989261522293
2,30,1,0.2,sigmoid,relu,rmsprop,0.16314793478174652,6.508443443277992
3,30,1,0.2,sigmoid,selu,rmsprop,0.19679007785521982,6.698709147656551
4,30,1,0.2,sigmoid,relu,rmsprop,0.17381645314029362,6.824739014238525
5,30,1,0.2,sigmoid,selu,rmsprop,0.17034275366920917,6.924297396857969
6,30,1,0.2,sigmoid,relu,rmsprop,0.19632964044037618,7.001866423349039
7,30,1,0.2,sigmoid,selu,rmsprop,0.16370862347137127,7.212161494737544
8,30,1,0.2,sigmoid,selu,rmsprop,0.17185872476586522,7.793275262806822
9,30,1,0.2,sigmoid,selu,rmsprop,0.1735675441791392,8.062917474785145
0,30,1,0.2,sigmoid,selu,rmsprop,0.1659438200161557,5.853041809890106
1,30,1,0.2,sigmoid,relu,rmsprop,0.16926071583314883,6.103989261522293
2,30,1,0.2,sigmoid,selu,rmsprop,0.17794017388656053,6.361968781907034
3,30,1,0.2,sigmoid,relu,rmsprop,0.1701014995830825,6.545887866132984
4,30,1,0.2,sigmoid,selu,rmsprop,0.1847206639514611,6.563327548939156
5,30,1,0.2,sigmoid,selu,rmsprop,0.19262716754629466,6.587439833497331
6,30,1,0.2,sigmoid,selu,rmsprop,0.16298837292296578,6.853626811565603
7,30,1,0.2,sigmoid,relu,rmsprop,0.16714471800376074,6.881542904427854
8,30,1,0.2,sigmoid,relu,rmsprop,0.20512168135589184,7.0789248320328495
9,30,1,0.2,sigmoid,relu,rmsprop,0.1757230832128391,8.812378273696336
0,30,1,0.2,sigmoid,selu,rmsprop,0.1659438200161557,5.853041809890106
1,30,1,0.2,sigmoid,selu,rmsprop,0.17331685036655084,6.100583988920653
2,30,1,0.2,sigmoid,relu,rmsprop,0.16926071583314883,6.103989261522293
3,30,1,0.2,sigmoid,selu,rmsprop,0.17794017388656053,6.361968781907034
4,30,1,0.2,sigmoid,selu,rmsprop,0.18276908655151738,6.428128585562471
5,30,1,0.2,sigmoid,relu,rmsprop,0.1788314389884748,6.46063892242386
6,30,1,0.2,sigmoid,relu,rmsprop,0.1701014995830825,6.545887866132984
7,30,1,0.2,sigmoid,selu,rmsprop,0.16578258486834846,6.687868135952603
8,30,1,0.2,sigmoid,selu,rmsprop,0.16711488638094588,7.877571969765329
9,30,1,0.2,sigmoid,selu,rmsprop,0.17784045489412745,9.114605072526318
0,30,1,0.2,sigmoid,selu,rmsprop,0.1659438200161557,5.853041809890106
1,30,1,0.30000000000000004,sigmoid,selu,rmsprop,0.17331685036655084,6.100583988920653
2,30,1,0.2,sigmoid,tanh,rmsprop,0.16926071583314883,6.103989261522293
3,30,1,0.30000000000000004,sigmoid,selu,rmsprop,0.17865019781944388,6.121121375375098
4,30,1,0.2,sigmoid,selu,rmsprop,0.1838245155051225,6.2237151961031
5,30,1,0.2,sigmoid,selu,rmsprop,0.17794017388656053,6.361968781907034
6,30,1,0.2,sigmoid,tanh,rmsprop,0.17056254919973968,6.372106717567243
7,30,1,0.2,sigmoid,selu,rmsprop,0.18131421242530227,6.583366509626633
8,30,1,0.2,sigmoid,selu,rmsprop,0.16718436935205752,6.817175383721564
9,30,1,0.2,sigmoid,tanh,rmsprop,0.16828347896583615,7.1193938696043375
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
