0,40,2,0.0,elu,relu,sgd,0.16454533485884132,5.5838756504220735
1,20,1,0.30000000000000004,elu,hard_sigmoid,adamax,0.16516297459686247,5.728005436430299
2,10,3,0.1,selu,elu,adam,0.16683914175918235,5.745564953622232
3,10,3,0.1,hard_sigmoid,elu,adadelta,0.1635778931414577,5.7550415996013
4,20,1,0.30000000000000004,hard_sigmoid,hard_sigmoid,rmsprop,0.17004619516630015,5.785811482231435
5,40,1,0.30000000000000004,sigmoid,selu,sgd,0.1709307693856915,5.793739025222066
6,20,1,0.0,sigmoid,hard_sigmoid,adadelta,0.1658798270504209,5.803041077909834
7,20,1,0.2,sigmoid,relu,adagrad,0.165689125087702,5.804549259772152
8,20,1,0.30000000000000004,elu,selu,nadam,0.16243012472738155,5.843283360268585
9,20,1,0.2,sigmoid,selu,adam,0.16404043656793169,5.884139832425907
10,30,1,0.1,sigmoid,relu,adagrad,0.1652947368478994,5.885991091289834
11,10,3,0.2,hard_sigmoid,sigmoid,adam,0.17468148970635497,5.914384361150855
12,20,1,0.1,hard_sigmoid,elu,rmsprop,0.16338796897374422,5.9248564153202485
13,30,1,0.1,sigmoid,relu,sgd,0.1756789880849806,5.924951624273655
14,20,3,0.2,sigmoid,selu,adam,0.1695464110706358,5.927894532694882
15,30,3,0.1,hard_sigmoid,relu,adagrad,0.17148322590177054,5.928157794392476
16,20,3,0.2,selu,elu,rmsprop,0.17657903826550067,5.930584070686238
17,10,3,0.0,sigmoid,hard_sigmoid,adam,0.1670172175614522,5.932145525094607
18,20,1,0.2,selu,relu,rmsprop,0.16132551968222247,5.969109568178908
19,30,1,0.1,sigmoid,relu,sgd,0.1684091765613969,6.162393821027627
20,20,1,0.30000000000000004,sigmoid,selu,adam,0.16844135669743207,6.2388951916490045
21,30,1,0.30000000000000004,hard_sigmoid,relu,adagrad,0.16584472721466406,6.2663851099823304
22,20,1,0.30000000000000004,sigmoid,selu,adamax,0.17283170936885783,6.313645086066806
23,40,1,0.30000000000000004,elu,selu,nadam,0.1674056451205551,6.537959331562082
24,40,2,0.0,elu,hard_sigmoid,sgd,0.17940216205878937,6.569267181156563
25,20,1,0.30000000000000004,sigmoid,hard_sigmoid,adamax,0.17941593080220072,6.649402879534024
26,30,1,0.1,sigmoid,selu,sgd,0.16644309109500582,6.668715224534837
27,20,1,0.30000000000000004,sigmoid,selu,nadam,0.16441227374426454,6.73039462062765
28,30,1,0.1,sigmoid,hard_sigmoid,adagrad,0.19470119089860308,6.741775328242117
29,30,1,0.1,sigmoid,relu,rmsprop,0.17656368562482144,6.811529141278074
30,20,1,0.1,sigmoid,hard_sigmoid,rmsprop,0.19465917990760462,6.883361416905867
31,20,1,0.30000000000000004,elu,selu,adamax,0.1710242739819678,7.085394961633947
32,30,1,0.1,sigmoid,relu,sgd,0.16647703590558868,7.122688352558851
33,20,1,0.2,sigmoid,relu,rmsprop,0.175272529582755,7.300615534604265
34,20,1,0.1,hard_sigmoid,relu,adagrad,0.17124625446849004,7.308496687805781
35,40,1,0.30000000000000004,sigmoid,selu,sgd,0.16782963938670234,7.54958532218071
36,20,3,0.2,sigmoid,selu,rmsprop,0.19818107722678574,7.7230394782247345
37,30,3,0.1,hard_sigmoid,relu,adagrad,0.19024893003882998,7.942121887896804
38,40,3,0.0,sigmoid,selu,sgd,0.184966048253118,8.452890410117469
39,10,1,0.2,hard_sigmoid,selu,sgd,0.20126954880807224,8.521378227288828
40,30,3,0.1,sigmoid,relu,adam,0.1790438882280699,8.666608396290552
41,30,3,0.1,sigmoid,relu,adagrad,0.20426280693783452,8.706167022961276
42,20,3,0.2,sigmoid,selu,adam,0.18654019423505702,8.908445939012067
43,20,3,0.2,sigmoid,elu,adam,0.1886091657801122,8.949335138519084
44,40,2,0.2,elu,relu,sgd,0.20090050552106048,9.0250388257393
45,30,3,0.2,hard_sigmoid,relu,adam,0.19594536985820454,10.35650208252842
46,20,3,0.1,sigmoid,relu,adam,0.2064106082672411,11.794896760814927
47,10,3,0.0,sigmoid,selu,sgd,0.21317672221352393,12.221897760725236
48,10,3,0.0,sigmoid,hard_sigmoid,sgd,0.6667766410008659,42.649188547280495
49,40,3,0.2,hard_sigmoid,sigmoid,sgd,0.6949395694432005,44.65669987811673
0,40,2,0.0,elu,relu,sgd,0.16454533485884132,5.5838756504220735
1,20,1,0.30000000000000004,elu,hard_sigmoid,adamax,0.16516297459686247,5.728005436430299
2,10,3,0.1,selu,elu,adam,0.16683914175918235,5.745564953622232
3,10,3,0.1,hard_sigmoid,elu,adadelta,0.1635778931414577,5.7550415996013
4,20,1,0.30000000000000004,hard_sigmoid,hard_sigmoid,rmsprop,0.17004619516630015,5.785811482231435
5,40,1,0.30000000000000004,sigmoid,selu,sgd,0.1709307693856915,5.793739025222066
6,20,1,0.0,sigmoid,hard_sigmoid,adadelta,0.1658798270504209,5.803041077909834
7,20,1,0.2,sigmoid,relu,adagrad,0.165689125087702,5.804549259772152
8,20,1,0.30000000000000004,hard_sigmoid,hard_sigmoid,rmsprop,0.1656391753856216,5.837617609572264
9,20,1,0.30000000000000004,elu,selu,nadam,0.16243012472738155,5.843283360268585
10,20,1,0.2,sigmoid,selu,adam,0.16404043656793169,5.884139832425907
11,30,1,0.1,sigmoid,relu,adagrad,0.1652947368478994,5.885991091289834
12,10,3,0.2,hard_sigmoid,sigmoid,adam,0.17468148970635497,5.914384361150855
13,10,3,0.0,sigmoid,hard_sigmoid,adam,0.16338796897374422,5.9248564153202485
