price,temperature,load
2.403,3.6,2.6260393480792596
2.402,3.3000000000000007,2.4031209034827232
2.319,2.8000000000000007,2.4483434916775506
2.41,2.8000000000000007,2.4319354250142537
2.501,2.3999999999999986,2.447838468389204
2.562,2.1000000000000014,2.4582898085408273
2.587,1.8999999999999986,2.4737362935852376
2.618,1.8000000000000007,2.492146922669895
2.574,1.6999999999999993,2.5109175033648685
2.689,1.3000000000000007,2.582648419487378
2.748,1.3000000000000007,2.587980099391908
2.804,1.0,2.6382664626378047
2.87,0.0,2.803536912900743
2.966,-0.8999999999999986,2.736213098325151
3.038,0.0,2.831990644727258
3.08,-1.1000000000000014,2.73394856066891
3.093,-0.10000000000000142,2.8307792476455305
3.078,0.0,2.8383882252166095
3.051,-0.3000000000000007,2.8046873247878423
3.019,-1.0,2.736146892696794
2.994,-1.5,2.685984023137628
2.965,-2.3999999999999986,2.5870980475307244
2.936,-3.1000000000000014,2.510682102392472
2.94,-3.8000000000000007,2.4341507886880813
2.891,-4.099999999999998,2.30562424954982
2.811,-3.8000000000000007,2.2342380830478388
2.789,-3.6000000000000014,2.1912667567862902
2.826,-3.6000000000000014,2.1651835914824056
3.043,-3.5,2.096466552838133
3.285,-3.5,1.9933040962064934
3.391,-3.3999999999999986,1.924709359922691
3.487,-3.1999999999999993,1.8867065058817039
3.522,-2.8999999999999986,1.8740454223507859
3.541,-2.6000000000000014,1.865538793038627
3.507,-2.6000000000000014,1.8804534004514835
3.485,-2.5,1.8875999579083582
3.47,-2.6000000000000014,1.8936191620516873
3.48,-2.6999999999999993,1.88957205720234
3.593,-2.6999999999999993,1.8425118387865393
3.752,-3.1999999999999993,1.778057964428227
3.848,-3.5,1.7392865407920601
3.688,-3.8999999999999986,1.820755190386403
3.552,-4.199999999999999,1.8748113705393488
3.523,-4.600000000000001,1.884574388640671
3.474,-4.800000000000001,1.9048490279854529
3.299,-5.199999999999999,1.9727786856616851
3.094,-5.400000000000002,2.040646763628658
3.065,-5.600000000000001,2.045606340017013
3.037,-6.199999999999999,2.057805396675654
3.015,-6.099999999999998,2.0634620745264267
3.014,-6.100000000000001,2.0632887884929447
3.04,-6.099999999999998,2.0546816104280556
3.224,-6.199999999999999,1.9924192716048026
3.35,-6.0,1.950589847403266
3.58,-5.900000000000002,1.8616725109471763
3.678,-5.699999999999999,1.8259730477448997
3.617,-5.599999999999998,1.8552295315744547
3.54,-5.400000000000002,1.8840173333159191
3.492,-5.399999999999999,1.9011815387735622
3.481,-5.300000000000001,1.9035164724105944
3.409,-5.300000000000001,1.9318064829455681
3.425,-5.099999999999998,1.9219001536788247
3.451,-5.900000000000002,1.917251061304287
3.495,-7.0,1.9067497094083439
3.459,-8.5,1.9312720970652997
3.406,-9.8,1.9577924401915578
3.293,-8.599999999999998,1.9902284726945323
3.18,-8.7,2.0281947341927524
3.051,-9.7,2.074348638000929
2.927,-4.0,2.0982937119434224
2.846,-3.8999999999999986,2.1295290903366597
2.593,-4.099999999999998,2.2041861656381427
2.541,-4.800000000000001,2.2276279126681677
2.535,-5.800000000000001,2.2208985624788484
2.545,-5.800000000000001,2.216442467488652
2.597,-8.7,2.182726107483425
2.787,-9.600000000000001,2.13822536841334
2.892,-10.400000000000002,2.116883342449513
3.065,-10.8,2.0684551845507064
3.213,-10.6,2.021197628544345
3.327,-10.6,1.984514851199356
3.352,-11.8,1.986099713077631
3.393,-12.8,1.9948195745791384
3.393,-13.8,2.0272444206583575
3.394,-14.5,2.0378753286585822
3.415,-15.5,2.069294491207409
3.53,-16.8,2.087692763110933
3.628,-17.5,2.089603637679557
3.681,-17.9,2.1012148804350352
3.555,-18.0,2.1324336054621447
3.45,-17.8,2.1184406426741025
3.389,-17.7,2.1378782280596504
3.302,-17.8,2.146983601661177
3.233,-17.8,2.1533804861256156
3.044,-17.7,2.175724054370557
3.051,-17.8,2.1630909161319787
3.023,-17.8,2.177355211042331
3.0,-17.9,2.1756148416393826
3.006,-17.6,2.160687155827547
3.061,-17.3,2.1474590070476536
3.245,-17.3,2.1221245167963367
3.487,-17.7,2.1116335863759463
4.207,-18.0,2.001191300822539
4.338,-17.9,2.1626452224180843
4.204,-17.3,1.8642567607342142
4.304,-16.8,2.2526105848721936
4.454,-16.3,1.6344453592017691
4.456,-15.9,2.5323448301860996
4.466,-16.2,1.3832655233965911
4.499,-16.3,3.1580328418771213
5.61,-16.6,1.3316896410605847
6.97,-16.8,3.363680602493455
7.392,-17.1,1.4701915317597902
7.199,-17.2,3.137192389007407
5.008,-17.4,1.4057439696042235
4.489,-17.9,3.529226048800191
4.205,-18.1,1.6703439139010152
3.722,-18.3,2.8531369674760123
3.465,-19.1,1.942399562270632
3.584,-19.6,2.499092726135644
3.554,-19.3,1.9213602548654256
3.459,-18.4,2.399706029768533
3.428,-18.8,1.9913655105439625
3.416,-20.1,2.4900029080285
3.259,-20.1,2.0306790565876347
3.432,-20.4,2.463357220225601
3.397,-20.5,2.0320153466617485
3.4,-19.6,2.384791351651795
3.405,-19.2,2.0225946520677294
3.455,-17.2,2.177033903476927
3.458,-16.2,2.0085348901694275
3.416,-15.4,2.0815877997697836
3.392,-15.9,2.067009822830392
3.388,-16.6,2.112190697654454
3.492,-17.7,2.118541602869455
3.495,-16.8,2.0604060895261145
3.473,-16.3,2.079425690047443
3.471,-16.5,2.077161722623015
3.342,-6.699999999999999,1.949717591090056
3.213,-7.100000000000001,2.0108219989884857
3.156,-7.399999999999999,2.02723431275738
3.018,-7.5,2.072842872484518
2.901,-7.099999999999998,2.101722459910784
2.935,-6.699999999999999,2.087053735980196
2.888,-5.800000000000001,2.0973182192604147
2.828,-5.300000000000001,2.1131226031165555
2.784,-5.0,2.1344213644662706
2.804,-5.100000000000001,2.1329930746926715
